,Karen,Scott,Jessica,write a review,A verified traveler,Kevin,William,R,S,Christopher,Contributor,Chris,Patricia,Lisa,Mike,John,Nancy,H,Jason,Stephen,Anonymous,Jeffrey,Jennifer,Linda,Richard,James,Charles,Robert,Paul,George,Barbara,Steve,Eric,Mark,Mary,C,Daniel,Donald,David,Thomas,Susan,A Traveler,M,Not Provided,B,Laura,xxxxxxxxxxxxxx,Michael,Joseph
"The Alexandrian, Autograph Collection",4.0,,,,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,,,5.0,,,5.0,5.0,,3.0,5.0,5.0,4.0,4.0,5.0,,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,,5.0,,,5.0,,4.0,5.0
The Amble Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Citizen Hotel, Autograph Collection",,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Desmond House Bed & Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Golden Hotel, An Ascend Hotel Collection Member",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Governor Hotel,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grove Seaside Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
The Houstonian Hotel,,,,,,,4.0,,,,,,,,,5.0,,,5.0,4.0,,,4.0,,,,,,,,,,,5.0,,,,,,,,5.0,5.0,,,,,5.0,
The Inn At Bella Vista,,,,,,,,,,,,,,,,5.0,,,,3.0,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,
The Inn On Negley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Jayakarta Bali,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,
The Kingsport Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kinney - Venice Beach,,,,,,,,,3.0,,,,,,,,,,,,,,,5.0,4.0,,,,,,,,,2.0,,,,,,,,4.0,,,,,,,
The Litchfield Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Miner's Inn Motel Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The National Conference Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Parkview Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Ritz-carlton Orlando, Grande Lakes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Savoy Hotel,,4.0,,,,,,,,,,5.0,,,,,,,,,,,4.0,,,,,4.0,,,,,,,,,,,,,,5.0,,,5.0,,,,
The Westin Buckhead,,,5.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,,,5.0,,,,,,,4.0
The Westin Europa and Regina,,,,,,,2.0,,,,,,5.0,,,,,,,,,,,2.0,,,,,,4.0,,5.0,,,,,,,5.0,,,5.0,,,,,,,
The White House Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tidewater Inn,,,,,,,,,,,,4.0,,,,3.0,1.0,,,,,,,4.0,4.0,,,,,2.0,,,,,,,,,,,,4.0,4.0,3.0,2.0,,,3.0,3.0
Tiffany House Bed & Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tmc Resort Rentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torian Plum By Wyndham Vacation Rentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towneplace Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towneplace Suites Albany University Area,,,,,,5.0,,,,,,,,,,5.0,,,,,5.0,,,,,,4.0,3.0,,,,,5.0,1.0,5.0,,,,4.0,,,5.0,,,,,,,
Townplace Suites By Marriott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travelodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travelodge Anaheim Convention Center,,,1.0,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,4.0,,,,,,,2.0,,,1.0,2.0,3.0,,1.0,,,4.0,
Travelodge Ruther Glen,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,3.0,,,,,,,
Truckee Tahoe Htl Larkspur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tryp Dusseldorf Krefeld Hotel,,,,,,,,,,,,,,,,2.0,,,,,,,,5.0,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,4.0,
Tulip Inn Turin West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,
Turf Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twelve Hotels & Residences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twin Gables of Woodstock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Una Hotel Forte Dei Marmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,3.0,,4.0,,,3.0,,,,,,,
Unionport Lodge No 333 F A M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uptown Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa Carlotta,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,5.0,,,5.0,,,,
Villager Inn Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vista Hotel On Lake Tarpon,,,,,,,,,,5.0,,,3.0,,,5.0,,2.0,,3.0,,,,,,,,4.0,1.0,,,,,,,,,,4.0,,,4.0,,,,,,3.0,4.0
Wakonda Hotel & Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallowa Lake Vacation Rentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warwick Denver,,,,,,,,,4.0,,,,,,,2.0,,,,,,,,,,3.0,,,,,,,2.0,,,,,,,4.0,4.0,5.0,,,,,,5.0,
Watermark Bed Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome Inn Apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Side Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Inn-glacier Park,2.0,,5.0,,,,4.0,5.0,,2.0,,,,,,4.0,,,,,,,,,1.0,3.0,,4.0,2.0,,,,,,,4.0,4.0,,,,,4.0,,,,,,2.0,
Whiteface Chalet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wine Valley Lodge,4.0,,,,,,,,5.0,,,,,3.0,,4.0,,4.0,,,,,,,4.0,,,,,,,,,,5.0,3.0,,,4.0,5.0,,5.0,4.0,,,4.0,,3.0,
Wingate By Wyndham Chantilly / Dulles Airport,,,,,,,,,,,4.0,,1.0,,,,,,,5.0,,,,,,4.0,4.0,,5.0,,,,,,,5.0,,,2.0,,,5.0,,,,,,,
Wingate By Wyndham Pueblo,,,,,,,,,5.0,5.0,,,,,,,,,5.0,,,,,,,5.0,,,,,5.0,,,,,,,5.0,,,,5.0,4.0,5.0,,4.0,,,
Worldwide Hospitality Supply Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
